Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.216    1.216    1.245    1.245 {built-in method exec}
        1    0.082    0.082    0.201    0.201 {built-in method show}
        3    0.030    0.010    0.030    0.010 {method 'take' of 'numpy.ndarray' objects}
      7/6    0.018    0.003    0.020    0.003 {built-in method _imp.create_dynamic}
       32    0.010    0.000    0.010    0.000 {built-in method io.open_code}
        1    0.010    0.010    0.010    0.010 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:102(_create_qApp)
4432/3236    0.005    0.000    0.052    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        4    0.005    0.001    0.005    0.001 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.005    0.005    0.009    0.009 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:620(__init__)
      198    0.005    0.000    0.005    0.000 {built-in method nt.stat}
  3620/60    0.004    0.000    0.009    0.000 C:\Program Files\Python310\lib\copy.py:128(deepcopy)
       32    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
    12951    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
32954/32949    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
        1    0.003    0.003    0.003    0.003 {built-in method addToolBar}
     1102    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5727    0.003    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\__init__.py:658(__getitem__)
       63    0.003    0.000    0.006    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\assumptions.py:596(__init__)
       25    0.003    0.000    0.003    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     75/1    0.003    0.000    0.008    0.008 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\assumptions.py:489(_ask)
      917    0.003    0.000    0.009    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:99(__init__)
  992/986    0.002    0.000    0.006    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\sorting.py:10(default_sort_key)
5075/4576    0.002    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:289(stale)
        1    0.002    0.002    0.015    0.015 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:515(__init__)
      878    0.002    0.000    0.006    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\_methods.py:164(_mean)
3906/3726    0.002    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\sympify.py:102(sympify)
      915    0.002    0.000    0.005    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\shape_base.py:612(column_stack)
  119/116    0.002    0.000    0.013    0.000 {built-in method builtins.__build_class__}
       30    0.002    0.000    0.002    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        8    0.002    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:660(_icon)
        3    0.002    0.001    0.002    0.001 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      349    0.002    0.000    0.009    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1143(_update_props)
     6122    0.002    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\utilities\misc.py:491(as_int)
21247/20590    0.002    0.000    0.002    0.000 {built-in method builtins.len}
1192/1191    0.002    0.000    0.005    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:294(process)
    17227    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.002    0.002    0.006    0.006 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1449(_findfont_cached)
        3    0.002    0.001    0.002    0.001 {built-in method setDevicePixelRatio}
      917    0.002    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\_api\__init__.py:134(check_shape)
      396    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     7019    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
